x,y,value,group,label,facet,source,target,weight,lower,upper
Fusions and clinical features across tumor types in OM cohort.,nan,0.0,,Fusions and clinical features across tumor types in OM cohort.,nan,Fusions and clinical features across tumor types in OM cohort.,nan,0.0,-29.820127430981916,29.820127430981916
nan,nan,1.0,,nan,nan,nan,nan,1.0,-28.820127430981916,30.820127430981916
Gene,Fusion,2.0,,Gene,Fusion Type,Gene,Fusion,2.0,-27.820127430981916,31.820127430981916
ERBB2,POLR1D-ERBB2,3.0,,ERBB2,Rarely reported fusion,ERBB2,POLR1D-ERBB2,3.0,-26.820127430981916,32.82012743098191
ALK,EML4-ALK,4.0,,ALK,Known fusion,ALK,EML4-ALK,4.0,-25.820127430981916,33.82012743098191
FGFR2,FGFR2-BICC1,5.0,,FGFR2,Known fusion,FGFR2,FGFR2-BICC1,5.0,-24.820127430981916,34.82012743098191
RET,KIF5B-RET,6.0,,RET,Known fusion,RET,KIF5B-RET,6.0,-23.820127430981916,35.82012743098191
FUS,FUS-DDIT3,7.0,,FUS,Known fusion,FUS,FUS-DDIT3,7.0,-22.820127430981916,36.82012743098191
FGFR2,FGFR2-AHCYL1,8.0,,FGFR2,Known fusion,FGFR2,FGFR2-AHCYL1,8.0,-21.820127430981916,37.82012743098191
TFE3,ASPSCR1-TFE3,9.0,,TFE3,Known fusion,TFE3,ASPSCR1-TFE3,9.0,-20.820127430981916,38.82012743098191
NTRK3,ETV6-NTRK3,10.0,,NTRK3,Known fusion,NTRK3,ETV6-NTRK3,10.0,-19.820127430981916,39.82012743098191
ALK,EML4-ALK,11.0,,ALK,Known fusion,ALK,EML4-ALK,11.0,-18.820127430981916,40.82012743098191
RET,KIF5B-RET,12.0,,RET,Known fusion,RET,KIF5B-RET,12.0,-17.820127430981916,41.82012743098191
PDGFB,COL1A1-PDGFB,13.0,,PDGFB,Known fusion,PDGFB,COL1A1-PDGFB,13.0,-16.820127430981916,42.82012743098191
ALK,EML6-ALK,14.0,,ALK,Known fusion,ALK,EML6-ALK,14.0,-15.820127430981916,43.82012743098191
ALK,FBXO11-ALK,15.0,,ALK,Known fusion,ALK,FBXO11-ALK,15.0,-14.820127430981916,44.82012743098191
ALK,EML4-ALK,16.0,,ALK,Known fusion,ALK,EML4-ALK,16.0,-13.820127430981916,45.82012743098191
ALK,EML4-ALK,17.0,,ALK,Known fusion,ALK,EML4-ALK,17.0,-12.820127430981916,46.82012743098191
ALK,EML4-ALK,18.0,,ALK,Known fusion,ALK,EML4-ALK,18.0,-11.820127430981916,47.82012743098191
MYB,MYB-NFIB,19.0,,MYB,Known fusion,MYB,MYB-NFIB,19.0,-10.820127430981916,48.82012743098191
EWSR1,EWSR1-FLI1,20.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,20.0,-9.820127430981916,49.82012743098191
ALK,EML4-ALK,21.0,,ALK,Known fusion,ALK,EML4-ALK,21.0,-8.820127430981916,50.82012743098191
RET,CCDC6-RET,22.0,,RET,Known fusion,RET,CCDC6-RET,22.0,-7.820127430981916,51.82012743098191
ALK,EML4-ALK,23.0,,ALK,Known fusion,ALK,EML4-ALK,23.0,-6.820127430981916,52.82012743098191
ALK,EML4-ALK,24.0,,ALK,Known fusion,ALK,EML4-ALK,24.0,-5.820127430981916,53.82012743098191
NTRK3,ITGA4-NTRK3,25.0,,NTRK3,Rarely reported fusion,NTRK3,ITGA4-NTRK3,25.0,-4.820127430981916,54.82012743098191
FUS,FUS-FEV,26.0,,FUS,Known fusion,FUS,FUS-FEV,26.0,-3.820127430981916,55.82012743098191
ALK,EML4-ALK,27.0,,ALK,Known fusion,ALK,EML4-ALK,27.0,-2.820127430981916,56.82012743098191
ALK,EML4-ALK,28.0,,ALK,Known fusion,ALK,EML4-ALK,28.0,-1.8201274309819162,57.82012743098191
FUS,FUS-DDIT3,29.0,,FUS,Known fusion,FUS,FUS-DDIT3,29.0,-0.8201274309819162,58.82012743098191
FGFR3,FGFR3-TACC3,30.0,,FGFR3,Known fusion,FGFR3,FGFR3-TACC3,30.0,0.1798725690180838,59.82012743098191
ROS1,NUS1-ROS1,31.0,,ROS1,Rarely reported fusion,ROS1,NUS1-ROS1,31.0,1.1798725690180838,60.82012743098191
CAMTA1,WWTR1-CAMTA1,32.0,,CAMTA1,Known fusion,CAMTA1,WWTR1-CAMTA1,32.0,2.179872569018084,61.82012743098191
ROS1,LRIG3-ROS1,33.0,,ROS1,Known fusion,ROS1,LRIG3-ROS1,33.0,3.179872569018084,62.82012743098191
BRAF,NXPH1-BRAF,34.0,,BRAF,Rarely reported fusion,BRAF,NXPH1-BRAF,34.0,4.179872569018084,63.82012743098191
RET,TBC1D32-RET,35.0,,RET,Known fusion,RET,TBC1D32-RET,35.0,5.179872569018084,64.82012743098191
MET,ST7-MET,36.0,,MET,Known fusion,MET,ST7-MET,36.0,6.179872569018084,65.82012743098191
ALK,LCLAT1-ALK,37.0,,ALK,Rarely reported fusion,ALK,LCLAT1-ALK,37.0,7.179872569018084,66.82012743098191
EWSR1,EWSR1-FLI1,38.0,,EWSR1,Known fusion,EWSR1,EWSR1-FLI1,38.0,8.179872569018084,67.82012743098191
FGFR2,FGFR2-BEND3,39.0,,FGFR2,Rarely reported fusion,FGFR2,FGFR2-BEND3,39.0,9.179872569018084,68.82012743098191
RET,ERC1-RET,40.0,,RET,Known fusion,RET,ERC1-RET,40.0,10.179872569018084,69.82012743098191
ALK,EML4-ALK,41.0,,ALK,Known fusion,ALK,EML4-ALK,41.0,11.179872569018084,70.82012743098191
MYB,MYB-NFIB,42.0,,MYB,Known fusion,MYB,MYB-NFIB,42.0,12.179872569018084,71.82012743098191
ALK,EML4-ALK,43.0,,ALK,Known fusion,ALK,EML4-ALK,43.0,13.179872569018084,72.82012743098191
ALK,LINC01317-ALK,44.0,,ALK,Potential fusion,ALK,LINC01317-ALK,44.0,14.179872569018084,73.82012743098191
ALK,ALK-Intragenic,45.0,,ALK,Potential fusion,ALK,ALK-Intragenic,45.0,15.179872569018084,74.82012743098191
