x,y,value,group,label,facet,source,target,weight,lower,upper
1,2.26,-0.6,sample1,sample1,Blood OPEs,1,2.26,-0.6,-1.1488888504069017,-0.05111114959309826
2,2.96,0.04,sample2,sample2,Blood OPEs,2,2.96,0.04,-0.5088888504069017,0.5888888504069018
3,-0.9,-3.69,sample3,sample3,Blood OPEs,3,-0.9,-3.69,-4.2388888504069016,-3.1411111495930983
4,3.33,1.14,sample4,sample4,Blood OPEs,4,3.33,1.14,0.5911111495930982,1.6888888504069017
5,4.19,2.43,sample5,sample5,Blood OPEs,5,4.19,2.43,1.8811111495930986,2.9788888504069018
6,2.92,1.11,sample6,sample6,Blood OPEs,6,2.92,1.11,0.5611111495930984,1.658888850406902
7,6.79,4.29,sample7,sample7,Blood OPEs,7,6.79,4.29,3.7411111495930984,4.838888850406902
8,6.06,3.31,sample8,sample8,Blood OPEs,8,6.06,3.31,2.7611111495930984,3.8588888504069017
9,-0.47,-2.9,sample9,sample9,Blood OPEs,9,-0.47,-2.9,-3.4488888504069015,-2.3511111495930983
10,4.2,2.41,sample10,sample10,Blood OPEs,10,4.2,2.41,1.8611111495930985,2.9588888504069017
11,4.3,1.64,sample11,sample11,Blood OPEs,11,4.3,1.64,1.091111149593098,2.1888888504069017
12,-0.25,-2.18,sample12,sample12,Blood OPEs,12,-0.25,-2.18,-2.7288888504069018,-1.6311111495930986
13,1.95,-1.0,sample13,sample13,Blood OPEs,13,1.95,-1.0,-1.5488888504069016,-0.4511111495930983
14,5.92,3.38,sample14,sample14,Blood OPEs,14,5.92,3.38,2.8311111495930983,3.9288888504069015
15,2.63,0.96,sample15,sample15,Blood OPEs,15,2.63,0.96,0.41111114959309825,1.5088888504069016
16,-0.11,-2.52,sample16,sample16,Blood OPEs,16,-0.11,-2.52,-3.0688888504069016,-1.9711111495930984
17,-1.18,-3.51,sample17,sample17,Blood OPEs,17,-1.18,-3.51,-4.058888850406902,-2.961111149593098
18,2.12,0.39,sample18,sample18,Blood OPEs,18,2.12,0.39,-0.1588888504069017,0.9388888504069017
19,1.86,-0.33,sample19,sample19,Urine OPEs,19,1.86,-0.33,-0.8788888504069017,0.2188888504069017
20,4.56,2.03,sample20,sample20,Urine OPEs,20,4.56,2.03,1.4811111495930982,2.5788888504069014
21,3.75,1.28,sample21,sample21,Urine OPEs,21,3.75,1.28,0.7311111495930983,1.8288888504069019
22,2.0,-0.21,sample22,sample22,Urine OPEs,22,2.0,-0.21,-0.7588888504069017,0.33888885040690175
23,5.26,2.37,sample23,sample23,Urine OPEs,23,5.26,2.37,1.8211111495930985,2.9188888504069017
24,2.31,0.66,sample24,sample24,Urine OPEs,24,2.31,0.66,0.11111114959309831,1.2088888504069017
25,3.56,2.02,sample25,sample25,Urine OPEs,25,3.56,2.02,1.4711111495930984,2.5688888504069016
26,5.11,2.18,sample1,sample1,Blood OPEs,26,5.11,2.18,1.6311111495930986,2.7288888504069018
27,6.65,3.83,sample2,sample2,Blood OPEs,27,6.65,3.83,3.2811111495930985,4.378888850406902
28,5.58,2.9,sample3,sample3,Blood OPEs,28,5.58,2.9,2.3511111495930983,3.4488888504069015
29,4.7,2.09,sample4,sample4,Blood OPEs,29,4.7,2.09,1.5411111495930983,2.6388888504069015
30,-0.38,-2.15,sample5,sample5,Blood OPEs,30,-0.38,-2.15,-2.6988888504069015,-1.6011111495930983
31,-1.71,-4.27,sample6,sample6,Blood OPEs,31,-1.71,-4.27,-4.818888850406902,-3.721111149593098
32,7.63,6.01,sample7,sample7,Blood OPEs,32,7.63,6.01,5.461111149593098,6.558888850406902
33,6.02,3.88,sample8,sample8,Blood OPEs,33,6.02,3.88,3.3311111495930983,4.428888850406902
34,3.58,1.14,sample9,sample9,Blood OPEs,34,3.58,1.14,0.5911111495930982,1.6888888504069017
35,3.18,0.96,sample10,sample10,Blood OPEs,35,3.18,0.96,0.41111114959309825,1.5088888504069016
36,3.59,1.21,sample11,sample11,Blood OPEs,36,3.59,1.21,0.6611111495930982,1.7588888504069016
37,2.64,0.8,sample12,sample12,Blood OPEs,37,2.64,0.8,0.2511111495930983,1.3488888504069019
38,2.88,0.99,sample13,sample13,Blood OPEs,38,2.88,0.99,0.4411111495930983,1.5388888504069018
39,-1.46,-3.84,sample14,sample14,Blood OPEs,39,-1.46,-3.84,-4.388888850406902,-3.2911111495930983
40,-0.75,-3.14,sample15,sample15,Blood OPEs,40,-0.75,-3.14,-3.6888888504069017,-2.5911111495930985
41,4.53,2.58,sample16,sample16,Blood OPEs,41,4.53,2.58,2.0311111495930985,3.1288888504069017
42,0.8,-1.91,sample17,sample17,Blood OPEs,42,0.8,-1.91,-2.4588888504069017,-1.361111149593098
43,-0.41,-1.92,sample18,sample18,Blood OPEs,43,-0.41,-1.92,-2.4688888504069015,-1.3711111495930983
44,0.78,-2.08,sample19,sample19,Urine OPEs,44,0.78,-2.08,-2.6288888504069017,-1.5311111495930985
45,3.9,2.15,sample20,sample20,Urine OPEs,45,3.9,2.15,1.6011111495930983,2.6988888504069015
46,7.68,6.13,sample21,sample21,Urine OPEs,46,7.68,6.13,5.581111149593098,6.678888850406902
47,3.75,1.36,sample22,sample22,Urine OPEs,47,3.75,1.36,0.8111111495930984,1.908888850406902
48,-0.35,-3.21,sample23,sample23,Urine OPEs,48,-0.35,-3.21,-3.7588888504069016,-2.6611111495930984
49,1.28,-1.27,sample24,sample24,Urine OPEs,49,1.28,-1.27,-1.8188888504069016,-0.7211111495930983
50,1.27,-1.22,sample25,sample25,Urine OPEs,50,1.27,-1.22,-1.7688888504069018,-0.6711111495930983
51,-0.4,-2.83,sample1,sample1,Blood OPEs,51,-0.4,-2.83,-3.3788888504069017,-2.2811111495930985
52,-0.28,-2.1,sample2,sample2,Blood OPEs,52,-0.28,-2.1,-2.6488888504069017,-1.5511111495930985
53,6.63,4.49,sample3,sample3,Blood OPEs,53,6.63,4.49,3.9411111495930986,5.038888850406902
54,2.48,0.77,sample4,sample4,Blood OPEs,54,2.48,0.77,0.2211111495930983,1.3188888504069016
55,2.8,-0.01,sample5,sample5,Blood OPEs,55,2.8,-0.01,-0.5588888504069017,0.5388888504069017
56,6.03,4.47,sample6,sample6,Blood OPEs,56,6.03,4.47,3.921111149593098,5.018888850406902
